		ISO-8859-13 (ISO Latin7) character set
0251	0xa9	/copyright
0252	0xaa	/Rcedilla
0253	0xab	/guillemotleft
0254	0xac	/logicalnot
0255	0xad	/hyphen
0256	0xae	/registered
0257	0xaf	/AE

0260	0xb0	/degree
0261	0xb1	/plusminus
0262	0xb2	/twosuperior
0263	0xb3	/threesuperior
0264	0xb4	/quotedblleft
0265	0xb5	/mu
0266	0xb6	/paragraph
0267	0xb7	/bullet

0270	0xb8	/oslash
0271	0xb9	/onesuperior
0272	0xba	/rcedilla
0273	0xbb	/guillemotright
0274	0xbc	/onequarter
0275	0xbd	/onehalf
0276	0xbe	/threequarters
0277	0xbf	/ae

0300	0xc0	/Aogonek
0301	0xc1	/Iogonek
0302	0xc2	/Amacron
0303	0xc3	/Cacute
0304	0xc4	/Adieresis
0305	0xc5	/Aring
0306	0xc6	/Eogonek
0307	0xc7	/Emacron

0310	0xc8	/Ccaron
0311	0xc9	/Eacute
0312	0xca	/Zacute
0313	0xcb	/Edotaccent
0314	0xcc	/Gcedilla
0315	0xcd	/Kcedilla
0316	0xce	/Imacron
0317	0xcf	/Lcedilla

0320	0xd0	/Scaron
0321	0xd1	/Nacute
0322	0xd2	/Ncedilla
0323	0xd3	/Oacute
0324	0xd4	/Omacron
0325	0xd5	/Otilde
0326	0xd6	/Odieresis
0327	0xd7	/multiply

0330	0xd8	/Uogonek
0331	0xd9	/Lslash
0332	0xda	/Sacute
0333	0xdb	/Umacron
0334	0xdc	/Udieresis
0335	0xdd	/Zdotaccent
0336	0xde	/Zcaron
0337	0xdf	/germandbls

0340	0xe0	/aogonek
0341	0xe1	/iogonek
0342	0xe2	/amacron
0343	0xe3	/cacute
0344	0xe4	/adieresis
0345	0xe5	/aring
0346	0xe6	/eogonek
0347	0xe7	/emacron

0350	0xe8	/ccaron
0351	0xe9	/eacute
0352	0xea	/zacute
0353	0xeb	/edotaccent
0354	0xec	/gcedilla
0355	0xed	/kcedilla
0356	0xee	/imacron
0357	0xef	/lcedilla

0360	0xf0	/scaron
0361	0xf1	/nacute
0362	0xf2	/ncedilla
0363	0xf3	/oacute
0364	0xf4	/omacron
0365	0xf5	/otilde
0366	0xf6	/odieresis
0367	0xf7	/divide

0370	0xf8	/uogonek
0371	0xf9	/lslash
0372	0xfa	/sacute
0373	0xfb	/umacron
0374	0xfc	/udieresis
0375	0xfd	/zdotaccent
0376	0xfe	/zcaron
0377	0xff	/quoteright
